comment,classification
they did that with pltr too eventually the snorlax wakes up,0
plays for the week qqq weeklies 332 5 amp 335 calls spy weeklies 387 5c pltr 32 5c weeklies qcom 26 feb 145cs lets go boys,1
amen loving it as the cayon eating retards will swing out of gme back into wonderful pltr for more tendies for me i am very long pltr,1
are pltr covered calls a good idea,0
its like thanksgiving pltr all over again,1
i wanna see a pltr commercial,0
pltr bby,0
spy crsr pltr calls all fucking brrrr,1
bb and pltr da fuccin moves this week eh anyone wanna buy matchin lambos,1
market green af if dis follows with it i almost dont care if my pltr shares get called away,0
gme nok amc pltr,0
spy 400 pltr 35 and cc v merger baby come on so close to 6 figgys,0
pltr gonna fly this week,1
pltr has doubled since nov you literal retard,1
praying this week pltr hits 40 only so many times a man can fail at this play,0
pltr 100 7 1,0
it definitely is charting like pltr was and that is quite curious,0
pltr to the fucking moon,1
pltr to keep on keeping on homies lets go,1
watching f bb and pltr and aci this week also why is reddit now spamming me with ads to buy silver lol no one is buying silver ironically i metal detect in the summer and have a stash of silver jewelry that i am saving up,0
pltr,0
hope pltr and crsr earnings and pltr lockup exp doesnt short ladder attack my portfolio this week,0
pltr mooning hard af this week,1
anyone playing pltr earnings i currently hold 900 shares 22 thinking of buying more and unloading before earnings,1
lemme get that 10am pltr dip tho a little more every day theyve tried so hard to pin this shit down and they still cant,1
christopher walkin voice buy pltr leaps,1
considering more pltr all the time,1
you talking bout pltr,0
pltr looking like a good move right now it could easily hit 50 next time it spikes,0
crsr sens and pltr,0
